"time","pos_x","pos_y","velocity"
"2013-12-05 13:29:28",18.546733,-33.774333,0.39564837513508
"2013-12-05 13:30:29",18.546733,-33.774333,0
"2013-12-05 13:32:12",18.546467,-33.774233,0.944411995296042
"2013-12-05 13:33:15",18.5465,-33.7742,0.272503073430218
"2013-12-05 13:34:14",18.546467,-33.7742,0.186513004748587
"2013-12-05 13:35:14",18.546433,-33.7742,0.188962165402643
"2013-12-05 13:36:08",18.546133,-33.7741,1.99469667779726
"2013-12-05 13:37:17",18.546067,-33.7741,0.318964639560669
"2013-12-05 13:38:18",18.5461,-33.7741,0.180398033840178
"2013-12-05 13:39:19",18.545867,-33.774067,1.29190774458889
"2013-12-05 13:40:20",18.545867,-33.774067,0
"2013-12-05 13:42:06",18.545533,-33.774033,1.05850115477465
"2013-12-05 13:43:07",18.545533,-33.774033,0
"2013-12-05 13:44:08",18.5452,-33.7741,1.87246911893699
"2013-12-05 13:45:09",18.545067,-33.774133,0.758470811067551
"2013-12-05 13:46:10",18.544133,-33.774133,5.10580906100985
"2013-12-05 13:46:36",18.542633,-33.7738,19.9064410334052
"2013-12-05 13:46:51",18.542433,-33.7749,29.6180584127755
"2013-12-05 13:48:03",18.5438,-33.779033,23.7795304455973
"2013-12-05 13:48:32",18.5439,-33.779767,10.1717741746448
"2013-12-05 13:48:50",18.5444,-33.7797,9.380750935974
"2013-12-05 13:49:50",18.545633,-33.78,7.13714826196873
"2013-12-05 13:50:52",18.5455,-33.780133,1.11595345243198
"2013-12-05 13:51:53",18.5455,-33.780133,0
"2013-12-05 13:52:54",18.5455,-33.780067,0.432036339162647
"2013-12-05 13:53:54",18.5455,-33.780033,0.226273575754705
"2013-12-05 13:54:55",18.544567,-33.779767,5.38905505597484
"2013-12-05 13:55:11",18.544267,-33.78,8.53819001526421
"2013-12-05 13:55:32",18.543567,-33.7798,11.7472723863274
"2013-12-05 13:56:00",18.544033,-33.777933,27.1973575094488
"2013-12-05 13:56:54",18.542333,-33.774633,26.5642609038435
"2013-12-05 13:57:06",18.542733,-33.7737,32.9758857426011
"2013-12-05 13:58:07",18.5457,-33.774033,16.3652901427754
"2013-12-05 13:59:07",18.5479,-33.7747,13.0077802867016
"2013-12-05 14:00:07",18.548433,-33.774833,3.09165324038179
"2013-12-05 14:00:53",18.549167,-33.783967,79.4666521930188
"2013-12-05 14:01:35",18.5481,-33.793033,86.6084136259375
"2013-12-05 14:02:16",18.5478,-33.8021,88.3390654810826
"2013-12-05 14:02:57",18.546867,-33.811167,88.6307071244015
"2013-12-05 14:03:36",18.543767,-33.819833,92.5992789852524
"2013-12-05 14:04:17",18.5404,-33.828567,89.35709042872
"2013-12-05 14:04:56",18.537067,-33.837133,92.2126547171773
"2013-12-05 14:05:39",18.533767,-33.845867,85.0420043526073
"2013-12-05 14:06:18",18.531633,-33.854867,93.9346433091754
"2013-12-05 14:06:59",18.5299,-33.863933,89.412244542402
"2013-12-05 14:07:40",18.530133,-33.873033,88.6480087806647
"2013-12-05 14:08:24",18.5311,-33.882167,83.2162263366499
"2013-12-05 14:08:52",18.532233,-33.887033,70.6912731719579
"2013-12-05 14:09:46",18.5249,-33.887233,45.2476640905138
"2013-12-05 14:10:30",18.517433,-33.893867,82.5741424330084
"2013-12-05 14:11:12",18.510067,-33.900633,86.8821542821734
"2013-12-05 14:11:54",18.5027,-33.907433,87.1240299149341
"2013-12-05 14:12:36",18.494933,-33.913767,86.1233463726715
"2013-12-05 14:13:20",18.4847,-33.9172,83.4586479215115
"2013-12-05 14:14:07",18.473867,-33.918933,78.1307534716349
"2013-12-05 14:14:50",18.463233,-33.921033,84.6043736486677
"2013-12-05 14:15:51",18.453633,-33.9215,52.4786404990704
"2013-12-05 14:16:21",18.449233,-33.922267,49.8797343085877
"2013-12-05 14:16:44",18.449267,-33.923967,29.5187327559639
"2013-12-05 14:18:01",18.453833,-33.9242,19.7763475703755
"2013-12-05 14:19:10",18.454733,-33.9239,4.67616819883207
"2013-12-05 14:20:12",18.454767,-33.923933,0.280172354837438
"2013-12-05 14:30:48",18.4547,-33.9239,0.0407311820217952
"2013-12-05 14:40:50",18.454733,-33.923933,0.0284977638192773
"2013-12-05 14:50:52",18.454733,-33.923933,0
"2013-12-05 15:00:53",18.4547,-33.9239,0.028545181063569
"2013-12-05 15:10:55",18.454667,-33.9239,0.0182476579875489
"2013-12-05 15:20:57",18.4547,-33.923867,0.0284977682486683
"2013-12-05 15:30:58",18.454733,-33.923867,0.0182780271970068
"2013-12-05 15:41:00",18.454767,-33.923867,0.0188006245703842
"2013-12-05 15:51:04",18.454767,-33.923933,0.0436338286377596
"2013-12-05 16:01:05",18.454767,-33.923933,0
"2013-12-05 16:11:07",18.454767,-33.9239,0.0218893958162393
"2013-12-05 16:21:13",18.454767,-33.923867,0.0217449112472382
"2013-12-05 16:31:14",18.454767,-33.9239,0.0219258173308259
"2013-12-05 16:41:16",18.454767,-33.923867,0.0218893957073527
"2013-12-05 16:51:20",18.454767,-33.923867,0
"2013-12-05 17:01:23",18.454767,-33.923867,0
"2013-12-05 17:11:26",18.454767,-33.923867,0
"2013-12-05 17:21:28",18.454767,-33.923867,0
"2013-12-05 17:31:29",18.454767,-33.923867,0
"2013-12-05 17:41:31",18.454767,-33.923867,0
"2013-12-05 17:51:33",18.454767,-33.9239,0.0218893957073527
"2013-12-05 18:01:34",18.454733,-33.923867,0.028902976371976
"2013-12-05 18:11:36",18.454733,-33.9239,0.0218893957073527
"2013-12-05 18:21:38",18.454767,-33.923867,0.0288549647833182
"2013-12-05 18:31:39",18.454767,-33.923867,0
"2013-12-05 18:41:41",18.454767,-33.9239,0.0218893957073527
"2013-12-05 18:51:46",18.454733,-33.923867,0.0287118823133183
"2013-12-05 19:01:51",18.454733,-33.923867,0
"2013-12-05 19:11:50",18.454733,-33.9239,0.0219990254020473
"2013-12-05 19:21:54",18.454733,-33.923867,0.0218169142646132
"2013-12-05 19:31:55",18.454733,-33.9239,0.0219258173308259
"2013-12-05 19:41:57",18.454733,-33.9239,0
"2013-12-05 19:51:59",18.454733,-33.923933,0.0218893958162393
"2013-12-05 20:02:00",18.454733,-33.923933,0
"2013-12-05 20:12:02",18.454767,-33.923867,0.0476449976335443
"2013-12-05 20:22:07",18.454767,-33.923867,0
"2013-12-05 20:32:08",18.454733,-33.923867,0.0188319068076062
"2013-12-05 20:42:12",18.454733,-33.923867,0
"2013-12-05 20:52:14",18.454733,-33.923867,0
"2013-12-05 21:02:15",18.454733,-33.923833,0.0225902359065194
"2013-12-05 21:12:19",18.454733,-33.9239,0.0442949470147707
"2013-12-05 21:22:23",18.454733,-33.923867,0.0218169142646132
"2013-12-05 21:32:32",18.454733,-33.923867,0
"2013-12-05 21:42:39",18.454733,-33.9239,0.0217090876702246
"2013-12-05 21:52:38",18.4547,-33.9239,0.0183390485971404
"2013-12-05 22:02:39",18.454733,-33.9239,0.0182780201492298
"2013-12-05 22:12:43",18.454733,-33.923867,0.0218169142646132
"2013-12-05 22:22:45",18.454733,-33.9239,0.0218893957073527
"2013-12-05 22:32:46",18.454733,-33.923867,0.0219258173308259
"2013-12-05 22:42:48",18.454733,-33.9239,0.0218893957073527
"2013-12-05 22:52:50",18.454733,-33.9239,0
"2013-12-05 23:02:51",18.454733,-33.923867,0.0219258173308259
"2013-12-05 23:12:55",18.454733,-33.923867,0
"2013-12-05 23:22:57",18.454733,-33.923867,0
"2013-12-05 23:32:58",18.4547,-33.923867,0.0182780271970068
"2013-12-05 23:43:00",18.454733,-33.923833,0.0290103803215929
"2013-12-05 23:53:02",18.454733,-33.923867,0.0225527105977046
